image,prompt,clip_score
scoft-Korean-culture_merged_neg_prompt1.png,Korea,24.5919
scoft-Korean-culture_vanila_neg_prompt1.png,Korea,23.8111
scoft-Korean-culture_face_neg_prompt1.png,Korea,24.5805
scoft-Korean-culture_GQA_neg_prompt1.png,Korea,24.7763
scoft-Korean-culture_face_neg_prompt2.png,Korea,24.9487
scoft-Korean-culture_merged_neg_prompt2.png,Korea,24.6064
scoft-Korean-culture_GQA_neg_prompt2.png,Korea,24.9862
scoft-Korean-culture_vanila_neg_prompt2.png,Korea,24.1054
scoft-Korean-culture_vanila_neg_prompt3.png,Korea,24.8426
scoft-Korean-culture_merged_neg_prompt3.png,Korea,25.1328
scoft-Korean-culture_face_neg_prompt3.png,Korea,24.4838
scoft-Korean-culture_GQA_neg_prompt3.png,Korea,24.8515
scoft-Korean-culture_GQA_neg_prompt4.png,Korea,23.9282
scoft-Korean-culture_vanila_neg_prompt4.png,Korea,23.7789
scoft-Korean-culture_face_neg_prompt4.png,Korea,25.1192
scoft-Korean-culture_merged_neg_prompt4.png,Korea,24.6131
scoft-Korean-culture_face_neg_prompt5.png,Korea,25.1917
scoft-Korean-culture_merged_neg_prompt5.png,Korea,24.7295
scoft-Korean-culture_GQA_neg_prompt5.png,Korea,24.254
scoft-Korean-culture_vanila_neg_prompt5.png,Korea,24.5799
scoft-Korean-culture_face_neg_prompt6.png,Korea,24.3939
scoft-Korean-culture_vanila_neg_prompt6.png,Korea,24.4447
scoft-Korean-culture_GQA_neg_prompt6.png,Korea,24.8965
scoft-Korean-culture_merged_neg_prompt6.png,Korea,24.9315
scoft-Korean-culture_face_neg_prompt7.png,Korea,24.3001
scoft-Korean-culture_vanila_neg_prompt7.png,Korea,24.7175
scoft-Korean-culture_merged_neg_prompt7.png,Korea,24.3283
scoft-Korean-culture_GQA_neg_prompt7.png,Korea,24.3413
scoft-Korean-culture_vanila_neg_prompt8.png,Korea,24.5284
scoft-Korean-culture_face_neg_prompt8.png,Korea,24.174
scoft-Korean-culture_merged_neg_prompt8.png,Korea,24.9574
scoft-Korean-culture_GQA_neg_prompt8.png,Korea,24.9005
scoft-Korean-culture_merged_neg_prompt9.png,Korea,24.6791
scoft-Korean-culture_face_neg_prompt9.png,Korea,24.8483
scoft-Korean-culture_GQA_neg_prompt9.png,Korea,24.7742
scoft-Korean-culture_vanila_neg_prompt9.png,Korea,24.5297
scoft-Korean-culture_vanila_neg_prompt10.png,Korea,24.5456
scoft-Korean-culture_merged_neg_prompt10.png,Korea,24.6086
scoft-Korean-culture_GQA_neg_prompt10.png,Korea,23.6373
scoft-Korean-culture_face_neg_prompt10.png,Korea,24.2634
scoft-Korean-culture_face_neg_prompt11.png,Korea,24.1702
scoft-Korean-culture_GQA_neg_prompt11.png,Korea,24.4038
scoft-Korean-culture_vanila_neg_prompt11.png,Korea,24.5994
scoft-Korean-culture_merged_neg_prompt11.png,Korea,24.33
scoft-Korean-culture_merged_neg_prompt12.png,Korea,24.2532
scoft-Korean-culture_face_neg_prompt12.png,Korea,24.192
scoft-Korean-culture_GQA_neg_prompt12.png,Korea,24.168
scoft-Korean-culture_vanila_neg_prompt12.png,Korea,24.7389
